134.77	128.91	121.09	199.22
189.45	126.95	115.23	119.14
95.703	126.95	117.19	999
128.91	126.95	115.23	236.33
136.72	125	117.19	195.31
128.91	134.77	113.28	999
125	132.81	115.23	216.8
101.56	132.81	117.19	279.3
125	130.86	115.23	234.38
128.91	132.81	126.95	203.12
208.98	37.109	115.23	244.14
125	175.78	126.95	999
105.47	132.81	121.09	999
95.703	125	111.33	208.98
125	128.91	111.33	999
93.75	132.81	117.19	99.609
128.91	125	132.81	117.19
130.86	140.62	27.344	177.73
201.17	134.77	117.19	999
97.656	126.95	119.14	117.19
125	130.86	117.19	999
123.05	123.05	115.23	183.59
125	126.95	119.14	115.23
126.95	130.86	85.938	212.89
95.703	130.86	117.19	999
97.656	130.86	113.28	999
117.19	167.97	119.14	999
201.17	128.91	115.23	246.09
91.797	136.72	126.95	230.47
425.78	125	87.891	212.89
140.62	125	115.23	210.94
93.75	134.77	123.05	576.17
93.75	126.95	125	291.02
130.86	125	128.91	119.14
134.77	126.95	123.05	283.2
138.67	134.77	117.19	999
97.656	130.86	113.28	999
125	125	117.19	999
97.656	126.95	91.797	179.69
123.05	128.91	125	113.28
126.95	128.91	119.14	421.88
330.08	125	115.23	119.14
134.77	130.86	82.031	166.02
132.81	126.95	123.05	246.09
296.88	123.05	125	220.7
119.14	142.58	125	212.89
60.547	128.91	115.23	115.23
85.938	126.95	115.23	169.92
93.75	126.95	91.797	220.7
126.95	130.86	130.86	189.45
130.86	125	125	177.73
89.844	125	91.797	115.23
287.11	136.72	119.14	195.31
125	126.95	117.19	999
125	126.95	117.19	999
132.81	126.95	117.19	999
93.75	132.81	113.28	166.02
199.22	130.86	121.09	232.42
97.656	126.95	115.23	117.19
99.609	125	117.19	232.42
103.52	130.86	128.91	210.94
125	125	95.703	218.75
281.25	126.95	125	228.52
99.609	128.91	117.19	19.531
123.05	128.91	111.33	109.38
128.91	126.95	126.95	121.09
197.27	83.984	115.23	220.7
95.703	134.77	121.09	999
128.91	126.95	123.05	999
126.95	125	117.19	999
99.609	140.62	126.95	181.64
128.91	115.23	117.19	359.38
121.09	125	117.19	999
123.05	128.91	132.81	999
154.3	123.05	119.14	238.28
93.75	130.86	113.28	222.66
128.91	132.81	115.23	117.19
136.72	128.91	87.891	218.75
121.09	126.95	125	999
93.75	130.86	111.33	95.703
119.14	173.83	125	999
128.91	126.95	91.797	113.28
121.09	125	115.23	421.88
136.72	134.77	128.91	224.61
152.34	123.05	119.14	999
95.703	130.86	89.844	999
121.09	132.81	111.33	117.19
