82	70
82	94
170	126
106	100
78	82
112	122
104	90
72	0
76	102
108	94
76	80
80	0
120	118
102	90
82	74
68	74
74	74
80	80
70	98
110	106
76	74
92	82
140	142
98	76
104	102
96	94
86	112
76	72
124	120
104	110
104	100
120	0
76	0
86	94
78	80
70	0
66	0
100	110
70	0
74	70
84	80
82	84
82	0
142	130
82	78
132	122
66	112
82	102
118	114
106	108
102	100
108	106
98	82
70	0
86	98
78	78
78	76
66	96
98	106
72	70
124	0
114	116
2	110
98	74
102	0
82	78
82	94
98	108
106	0
94	76
112	112
134	74
116	84
76	112
86	114
116	120
100	0
78	72
112	0
78	86
76	78
66	72
96	104
90	96
86	0
80	96
104	84
114	104
96	92
98	0
108	0
106	0
100	0
120	0
114	0
100	0
2	0
132	0
136	0
84	0
124	0
104	0
74	0
116	0
142	0
96	0
106	0
150	0
110	0
116	0
122	0
110	0
114	0
88	0
82	0
90	0
128	0
100	0
116	0
86	0
