82	72
84	10
14	128
108	100
14	86
114	122
28	72
74	0
76	102
76	96
78	60
82	0
122	88
106	94
86	76
70	74
76	76
80	82
72	80
112	108
78	80
92	18
10	144
72	94
78	50
16	40
88	120
76	72
94	120
20	112
106	74
12	0
76	0
90	94
82	82
74	0
68	0
104	100
74	0
76	72
86	80
86	86
84	0
148	132
84	82
132	122
72	114
82	80
122	6
58	84
104	104
110	106
104	84
74	0
86	80
78	78
78	48
68	74
100	110
72	72
124	0
98	48
72	98
98	28
80	0
82	80
82	96
98	108
106	0
82	76
92	114
134	76
48	84
76	82
88	82
118	124
18	0
78	72
82	0
78	88
78	14
68	24
104	84
90	100
10	0
32	96
104	86
94	106
16	92
100	0
108	0
108	0
102	0
122	0
86	0
80	0
118	0
114	0
138	0
84	0
94	0
104	0
74	0
52	0
118	0
96	0
76	0
154	0
112	0
84	0
124	0
110	0
114	0
72	0
82	0
90	0
92	0
100	0
82	0
90	0
