88	76
88	100
208	130
110	104
100	94
118	124
108	94
76	0
78	104
112	100
82	90
86	0
124	124
110	98
88	78
72	76
78	82
84	84
76	104
116	112
84	96
96	90
146	154
102	110
84	108
102	98
116	124
78	74
126	122
90	114
110	104
96	0
78	0
100	100
88	96
118	0
74	0
120	120
86	0
80	74
94	86
90	90
88	0
206	134
90	88
134	124
76	114
84	110
130	120
108	110
104	108
128	108
104	90
76	0
100	84
80	82
80	80
94	100
106	124
76	74
128	0
118	118
98	112
114	80
106	0
88	84
88	112
102	118
108	0
98	80
114	116
138	84
122	108
80	114
92	88
122	128
106	0
98	78
120	0
80	90
82	82
72	76
112	110
94	108
96	0
94	98
108	92
122	108
100	96
112	0
114	0
110	0
108	0
124	0
90	0
102	0
2	0
154	0
142	0
92	0
128	0
108	0
88	0
138	0
144	0
100	0
116	0
158	0
114	0
120	0
126	0
112	0
116	0
90	0
86	0
94	0
130	0
102	0
120	0
106	0
